,file_name,class_name,wave_min,wave_max,wave_mean,wave_var,amp_min,amp_max,amp_mean,amp_var,spectral_centroid_min,spectral_centroid_max,spectral_centroid_mean,spectral_centroid_var,spectral_rolloff_min,spectral_rolloff_max,spectral_rolloff_mean,spectral_rolloff_var,spectral_bandwidth_min,spectral_bandwidth_max,spectral_bandwidth_mean,spectral_bandwidth_var,mel_frequency_min,mel_frequency_max,mel_frequency_mean,mel_frequency_var,chroma_min,chroma_max,chroma_mean,chroma_var,zero_crossing_rate
0,Caprimulgus-europaeus-197153.wav,caprimulgus-europaeus,-1.6587957e-07,0.5845947,-0.6005554,0.0141890915,3.0104831418211433e-06,0.00029743932988073274,2.9482764299129257e-12,1.2623213709643153e-05,5953.711084042929,10993.276958425467,0.0,1005.5099212086465,7978.171642883432,10615.869140625,21.533203125,2233.2084295868085,6325.034324954927,8117.240658663676,10.15084947028448,1311.4114858477112,-29.031582,124.92276,-611.90234,111.773254,0.5612154,1.0,0.0,0.264888,18
1,Acrocephalus-schoenobaenus-311009.wav,acrocephalus-schoenobaenus,-1.4509532e-05,0.8959656,-0.92059326,0.059293095,2.3241627892144636e-05,0.0009910167351464103,4.774050262472177e-11,5.47740519516852e-05,3666.406951666864,11043.22824063965,1874.662284238797,897.8211812775121,4970.112499144139,8505.615234375,21.533203125,1059.5978614611015,3603.74694576645,7312.925193299536,18.734652651556328,1204.8709614941629,-20.124994,153.97708,-550.91815,85.00647,0.42391062,1.0,1.5753501e-05,0.3044408,18
2,Acrocephalus-arundinaceus-267181.wav,acrocephalus-arundinaceus,1.0063535e-06,0.09838867,-0.100616455,0.005955608,1.5652183764551024e-06,5.9423409467002267e-05,3.996647314173615e-12,3.6078072214819696e-06,3557.4336359630174,8477.167880850324,0.0,435.05822882698504,4790.077079597938,8505.615234375,21.533203125,1015.6454826849912,4169.174716347084,6091.238260741807,10.15084947028448,986.1940726723715,-18.89175,171.38373,-772.39087,103.88966,0.45971727,1.0,0.0,0.3081843,6
3,Glaucidium-passerinum-344245.wav,glaucidium-passerinum,4.1882595e-06,0.11669922,-0.12162781,0.014515262,2.0839216566010396e-06,0.0009777289966186426,2.8331665938513703e-11,1.8170494117986775e-05,3603.795258146655,11024.999887053855,0.0,840.9590010660368,1110.4630406516715,4285.107421875,21.533203125,763.133123733077,4662.744895645814,7171.547900361984,10.15084947028448,1494.7199921828549,-31.419563,152.24875,-708.68164,134.3661,0.39511386,1.0,0.0,0.31276092,8
4,Acrocephalus-palustris-142749.wav,acrocephalus-palustris,1.6905153e-08,0.96810913,-0.9798584,0.059883494,2.9235615664884685e-05,0.0008445546910721695,1.2585897211634045e-11,6.129392768297856e-05,4766.30806658146,11024.99998844869,0.0,1159.8192452281662,5338.628953503025,12532.32421875,21.533203125,1582.5360355886523,2992.7375068401307,5878.697141392132,10.15084947028448,961.937039858006,-27.813435,181.4692,-583.39716,111.08707,0.27516165,1.0,0.0,0.3210114,19
5,Athene-noctua-356471.wav,athene-noctua,-1.1428072e-05,0.9999695,-0.933197,0.030009236,7.65379673899185e-06,0.0008763428695040552,9.433978063513713e-12,2.221681395500991e-05,3383.6741060049403,11865.973117693216,0.0,520.5803654963144,6768.7672902605555,11273.4375,23.4375,999.7761434238842,4196.040413589933,6017.6636033849145,11.048543641125972,675.4964286607606,-8.107282,192.91284,-533.1129,67.45599,0.5487154,1.0,0.0,0.29488462,3
6,Cuculus-canorus-233333.wav,cuculus-canorus,-4.663583e-06,0.4572754,-0.47039795,0.041675076,1.5747464176454364e-05,0.0040409663438215416,1.762556790339258e-11,6.000429662665785e-05,4630.415598939666,9677.587786026557,1558.8147548460238,1070.6575231054064,8355.200375336784,13350.5859375,21.533203125,3047.1434808221316,5249.285967012162,7108.822675648968,465.0087793761391,1171.459729344007,-26.793777,84.302605,-583.45734,80.91534,0.23204671,1.0,1.7254622e-05,0.3105811,18
7,Erithacus-rubecula-155210.wav,erithacus-rubecula,8.95605e-06,0.56129456,-0.52874756,0.03169522,1.582487227943399e-05,0.0012409896732162283,5.731454789230574e-12,3.5787985051787915e-05,3146.406744525121,7950.237957437421,724.7699910830854,1252.3228257103049,4944.832410749123,8929.6875,117.1875,1815.964111398748,4040.1871863108613,7335.10515934289,1078.8711950360942,1219.2146105101913,-8.875237,176.34836,-532.709,108.93664,0.44533303,1.0,7.752013e-05,0.3551456,19
8,Troglodytes-troglodytes-405660.wav,troglodytes-troglodytes,9.247928e-08,0.812912,-0.79714966,0.050999045,1.9117212346370102e-05,0.0004882422928021289,5.243183929356659e-12,4.3933324411782e-05,5421.71241063173,11024.999981439694,0.0,726.8617457461696,6328.102908196947,9151.611328125,21.533203125,971.8996924990478,2863.2780943507382,4880.762420605926,10.15084947028448,679.5799807358196,-25.730282,169.9396,-630.47003,115.245964,0.24689075,1.0,0.0,0.32084066,23
9,Sylvia-atricapilla-436200.wav,sylvia-atricapilla,-0.0001969199,0.700943,-0.76371765,0.056380063,2.178646151689595e-05,0.001076358953565979,9.105284557457893e-12,4.5652485624089596e-05,2944.5877305170384,6267.329374746879,1525.6225688760828,611.6686354066736,5038.970739748609,11320.3125,2367.1875,1130.8805251079132,3454.0280538723614,5975.259385944762,1270.361537003934,779.4898169167778,-4.724906,214.07954,-367.097,71.42058,0.50162953,1.0,0.00011765774,0.3031874,16
